gene_names;protein_names;ksmbr_number;kust_number;accession_number
tnpA_17;similar to transposase;KSMBR1_3627;kuste3545;A0A2C9C9Q1
tnpA_17;similar to transposase;KSMBR1_3627;kuste3644;A0A2C9C9Q1
tnpA_17;similar to transposase;KSMBR1_3627;kuste3659;A0A2C9C9Q1
tnpA_17;similar to transposase;KSMBR1_3627;kuste4066;A0A2C9C9Q1
tnpA_17;similar to transposase;KSMBR1_3627;kuste4604;A0A2C9C9Q1
tnpA_17;similar to transposase;KSMBR1_3627;kuste4648;A0A2C9C9Q1
tnpA_20;similar to transposase;KSMBR1_3767;kustb0253;A0A2C9C9Q1
tnpA_20;similar to transposase;KSMBR1_3767;kustc0800;A0A2C9C9Q1
tnpA_20;similar to transposase;KSMBR1_3767;kustc0953;A0A2C9C9Q1
tnpA_20;similar to transposase;KSMBR1_3767;kustc1163;A0A2C9C9Q1
tnpA_20;similar to transposase;KSMBR1_3767;kustd2001;A0A2C9C9Q1
tnpA_20;similar to transposase;KSMBR1_3767;kuste2266;A0A2C9C9Q1
tnpA_20;similar to transposase;KSMBR1_3767;kuste2422;A0A2C9C9Q1
tnpA_20;similar to transposase;KSMBR1_3767;kuste2508;A0A2C9C9Q1
tnpA_20;similar to transposase;KSMBR1_3767;kuste2547;A0A2C9C9Q1
tnpA_20;similar to transposase;KSMBR1_3767;kuste2778;A0A2C9C9Q1
tnpA_20;similar to transposase;KSMBR1_3767;kuste2948;A0A2C9C9Q1
tnpA_20;similar to transposase;KSMBR1_3767;kuste3077;A0A2C9C9Q1
tnpA_20;similar to transposase;KSMBR1_3767;kuste3295;A0A2C9C9Q1
tnpA_20;similar to transposase;KSMBR1_3767;kuste3448;A0A2C9C9Q1
tnpA_20;similar to transposase;KSMBR1_3767;kuste3536;A0A2C9C9Q1
tnpA_20;similar to transposase;KSMBR1_3767;kuste3545;A0A2C9C9Q1
tnpA_20;similar to transposase;KSMBR1_3767;kuste3644;A0A2C9C9Q1
tnpA_20;similar to transposase;KSMBR1_3767;kuste3659;A0A2C9C9Q1
tnpA_20;similar to transposase;KSMBR1_3767;kuste4066;A0A2C9C9Q1
tnpA_20;similar to transposase;KSMBR1_3767;kuste4604;A0A2C9C9Q1
tnpA_20;similar to transposase;KSMBR1_3767;kuste4648;A0A2C9C9Q1
tnpA_21;similar to transposase;KSMBR1_3788;kustb0253;A0A2C9C9Q1
tnpA_21;similar to transposase;KSMBR1_3788;kustc0800;A0A2C9C9Q1
tnpA_21;similar to transposase;KSMBR1_3788;kustc0953;A0A2C9C9Q1
tnpA_21;similar to transposase;KSMBR1_3788;kustc1163;A0A2C9C9Q1
tnpA_21;similar to transposase;KSMBR1_3788;kustd2001;A0A2C9C9Q1
tnpA_21;similar to transposase;KSMBR1_3788;kuste2266;A0A2C9C9Q1
tnpA_21;similar to transposase;KSMBR1_3788;kuste2422;A0A2C9C9Q1
tnpA_21;similar to transposase;KSMBR1_3788;kuste2508;A0A2C9C9Q1
tnpA_21;similar to transposase;KSMBR1_3788;kuste2547;A0A2C9C9Q1
tnpA_21;similar to transposase;KSMBR1_3788;kuste2778;A0A2C9C9Q1
tnpA_21;similar to transposase;KSMBR1_3788;kuste2948;A0A2C9C9Q1
tnpA_21;similar to transposase;KSMBR1_3788;kuste3077;A0A2C9C9Q1
tnpA_21;similar to transposase;KSMBR1_3788;kuste3295;A0A2C9C9Q1
tnpA_21;similar to transposase;KSMBR1_3788;kuste3448;A0A2C9C9Q1
tnpA_21;similar to transposase;KSMBR1_3788;kuste3536;A0A2C9C9Q1
tnpA_21;similar to transposase;KSMBR1_3788;kuste3545;A0A2C9C9Q1
tnpA_21;similar to transposase;KSMBR1_3788;kuste3644;A0A2C9C9Q1
tnpA_21;similar to transposase;KSMBR1_3788;kuste3659;A0A2C9C9Q1
tnpA_21;similar to transposase;KSMBR1_3788;kuste4066;A0A2C9C9Q1
tnpA_21;similar to transposase;KSMBR1_3788;kuste4604;A0A2C9C9Q1
tnpA_21;similar to transposase;KSMBR1_3788;kuste4648;A0A2C9C9Q1
tnpA_3;similar to transposase;KSMBR1_0392;kustb0253;A0A2C9C9Q1
tnpA_3;similar to transposase;KSMBR1_0392;kustc0800;A0A2C9C9Q1
tnpA_3;similar to transposase;KSMBR1_0392;kustc0953;A0A2C9C9Q1
tnpA_3;similar to transposase;KSMBR1_0392;kustc1163;A0A2C9C9Q1
tnpA_3;similar to transposase;KSMBR1_0392;kustd2001;A0A2C9C9Q1
tnpA_3;similar to transposase;KSMBR1_0392;kuste2266;A0A2C9C9Q1
tnpA_3;similar to transposase;KSMBR1_0392;kuste2422;A0A2C9C9Q1
tnpA_3;similar to transposase;KSMBR1_0392;kuste2508;A0A2C9C9Q1
tnpA_3;similar to transposase;KSMBR1_0392;kuste2547;A0A2C9C9Q1
tnpA_3;similar to transposase;KSMBR1_0392;kuste2778;A0A2C9C9Q1
tnpA_3;similar to transposase;KSMBR1_0392;kuste2948;A0A2C9C9Q1
tnpA_3;similar to transposase;KSMBR1_0392;kuste3077;A0A2C9C9Q1
tnpA_3;similar to transposase;KSMBR1_0392;kuste3295;A0A2C9C9Q1
tnpA_3;similar to transposase;KSMBR1_0392;kuste3448;A0A2C9C9Q1
tnpA_3;similar to transposase;KSMBR1_0392;kuste3536;A0A2C9C9Q1
tnpA_3;similar to transposase;KSMBR1_0392;kuste3545;A0A2C9C9Q1
tnpA_3;similar to transposase;KSMBR1_0392;kuste3644;A0A2C9C9Q1
tnpA_3;similar to transposase;KSMBR1_0392;kuste3659;A0A2C9C9Q1
tnpA_3;similar to transposase;KSMBR1_0392;kuste4066;A0A2C9C9Q1
tnpA_3;similar to transposase;KSMBR1_0392;kuste4604;A0A2C9C9Q1
tnpA_3;similar to transposase;KSMBR1_0392;kuste4648;A0A2C9C9Q1
tnpA_6;similar to transposase;KSMBR1_0898;kustb0253;A0A2C9C9Q1
tnpA_6;similar to transposase;KSMBR1_0898;kustc0800;A0A2C9C9Q1
tnpA_6;similar to transposase;KSMBR1_0898;kustc0953;A0A2C9C9Q1
tnpA_6;similar to transposase;KSMBR1_0898;kustc1163;A0A2C9C9Q1
tnpA_6;similar to transposase;KSMBR1_0898;kustd2001;A0A2C9C9Q1
tnpA_6;similar to transposase;KSMBR1_0898;kuste2266;A0A2C9C9Q1
tnpA_6;similar to transposase;KSMBR1_0898;kuste2422;A0A2C9C9Q1
tnpA_6;similar to transposase;KSMBR1_0898;kuste2508;A0A2C9C9Q1
tnpA_6;similar to transposase;KSMBR1_0898;kuste2547;A0A2C9C9Q1
tnpA_6;similar to transposase;KSMBR1_0898;kuste2778;A0A2C9C9Q1
tnpA_6;similar to transposase;KSMBR1_0898;kuste2948;A0A2C9C9Q1
tnpA_6;similar to transposase;KSMBR1_0898;kuste3077;A0A2C9C9Q1
tnpA_6;similar to transposase;KSMBR1_0898;kuste3295;A0A2C9C9Q1
tnpA_6;similar to transposase;KSMBR1_0898;kuste3448;A0A2C9C9Q1
tnpA_6;similar to transposase;KSMBR1_0898;kuste3536;A0A2C9C9Q1
tnpA_6;similar to transposase;KSMBR1_0898;kuste3545;A0A2C9C9Q1
tnpA_6;similar to transposase;KSMBR1_0898;kuste3644;A0A2C9C9Q1
tnpA_6;similar to transposase;KSMBR1_0898;kuste3659;A0A2C9C9Q1
tnpA_6;similar to transposase;KSMBR1_0898;kuste4066;A0A2C9C9Q1
tnpA_6;similar to transposase;KSMBR1_0898;kuste4604;A0A2C9C9Q1
tnpA_6;similar to transposase;KSMBR1_0898;kuste4648;A0A2C9C9Q1
KSMBR1_0078;hypothetical protein;KSMBR1_0078;kuste3628;A0A2C9C9R1
panC;strongly similar to pantoate--beta-alanine ligase from Corynebacterium glutamicum (strain ATCC);KSMBR1_0002;kuste2845;A0A2C9C9R8
KSMBR1_0022;Hemerythrin HHE cation binding domain protein;KSMBR1_0022;kuste2822;A0A2C9C9T9
KSMBR1_0108;hypothetical protein;KSMBR1_0108;kuste3807;A0A2C9C9U1
KSMBR1_0032;hypothetical protein;KSMBR1_0032;kuste2810;A0A2C9C9V3
Rmlb_1;strongly similar to dTDP-D-glucose 4,6-dehydratase;KSMBR1_0119;kuste3797;A0A2C9C9V5
KSMBR1_0129;ATP synthase I chain;KSMBR1_0129;;A0A2C9C9W4
KSMBR1_0062;hypothetical protein;KSMBR1_0062;kuste3648;A0A2C9C9Z0
KSMBR1_0008;hypothetical protein;KSMBR1_0008;kustd1378;A0A2C9C9Z5
KSMBR1_0008;hypothetical protein;KSMBR1_0008;kuste3476;A0A2C9C9Z5
KSMBR1_0159;hypothetical protein;KSMBR1_0159;;A0A2C9C9Z6
KSMBR1_0009;hypothetical protein;KSMBR1_0009;kuste2842;A0A2C9C9Z8
KSMBR1_0004;hypothetical protein;KSMBR1_0004;;A0A2C9CA00
KSMBR1_0010;hypothetical protein;KSMBR1_0010;kuste2841;A0A2C9CA02
KSMBR1_0018;hypothetical protein;KSMBR1_0018;kuste2828;A0A2C9CA05
KSMBR1_0019;hypothetical protein;KSMBR1_0019;kuste2827;A0A2C9CA08
tnpA_2;similar to transposase;KSMBR1_0083;kustb0253;A0A2C9CA09
tnpA_2;similar to transposase;KSMBR1_0083;kustc0800;A0A2C9CA09
tnpA_2;similar to transposase;KSMBR1_0083;kustc0953;A0A2C9CA09
tnpA_2;similar to transposase;KSMBR1_0083;kustc1140;A0A2C9CA09
tnpA_2;similar to transposase;KSMBR1_0083;kustc1163;A0A2C9CA09
tnpA_2;similar to transposase;KSMBR1_0083;kustd2001;A0A2C9CA09
tnpA_2;similar to transposase;KSMBR1_0083;kuste2266;A0A2C9CA09
tnpA_2;similar to transposase;KSMBR1_0083;kuste2422;A0A2C9CA09
tnpA_2;similar to transposase;KSMBR1_0083;kuste2508;A0A2C9CA09
tnpA_2;similar to transposase;KSMBR1_0083;kuste2547;A0A2C9CA09
tnpA_2;similar to transposase;KSMBR1_0083;kuste2778;A0A2C9CA09
tnpA_2;similar to transposase;KSMBR1_0083;kuste2948;A0A2C9CA09
tnpA_2;similar to transposase;KSMBR1_0083;kuste3077;A0A2C9CA09
tnpA_2;similar to transposase;KSMBR1_0083;kuste3295;A0A2C9CA09
tnpA_2;similar to transposase;KSMBR1_0083;kuste3448;A0A2C9CA09
tnpA_2;similar to transposase;KSMBR1_0083;kuste3536;A0A2C9CA09
tnpA_2;similar to transposase;KSMBR1_0083;kuste3545;A0A2C9CA09
tnpA_2;similar to transposase;KSMBR1_0083;kuste3644;A0A2C9CA09
tnpA_2;similar to transposase;KSMBR1_0083;kuste3659;A0A2C9CA09
tnpA_2;similar to transposase;KSMBR1_0083;kuste4066;A0A2C9CA09
tnpA_2;similar to transposase;KSMBR1_0083;kuste4604;A0A2C9CA09
tnpA_2;similar to transposase;KSMBR1_0083;kuste4648;A0A2C9CA09
KSMBR1_0014;hypothetical protein;KSMBR1_0014;;A0A2C9CA10
KSMBR1_0020;hypothetical protein;KSMBR1_0020;kuste2826;A0A2C9CA12
KSMBR1_0028;hypothetical protein;KSMBR1_0028;kuste2813;A0A2C9CA14
dan;silmilar to D-aminoacylase;KSMBR1_0179;kuste3732;A0A2C9CA15
KSMBR1_0029;similar to SAM-dependent methyltransferase;KSMBR1_0029;kuste2812;A0A2C9CA18
KSMBR1_0030;hypothetical protein;KSMBR1_0030;;A0A2C9CA22
KSMBR1_0038;Reverse transcriptase (R0-dependent D0 polymerase);KSMBR1_0038;;A0A2C9CA27
KSMBR1_0103;hypothetical protein;KSMBR1_0103;;A0A2C9CA29
KSMBR1_0003;hypothetical protein;KSMBR1_0003;;A0A2C9CA35
KSMBR1_0013;hypothetical protein;KSMBR1_0013;kuste2837;A0A2C9CA45
dpm_1;similar to dolichyl-phosphate mannosyltransferase;KSMBR1_0059;kuste3652;A0A2C9CA47
atpH;ATP synthase subunit delta;KSMBR1_0124;;A0A2C9CA50
KSMBR1_0054;hypothetical protein;KSMBR1_0054;;A0A2C9CA53
KSMBR1_0023;hypothetical protein;KSMBR1_0023;;A0A2C9CA54
catC;similar to muconolactone delta-isomerase;KSMBR1_0060;kuste3650;A0A2C9CA56
KSMBR1_0222;hypothetical protein;KSMBR1_0222;;A0A2C9CA58
dacC;D-alanyl-D-alanine carboxypeptidase DacC precursor;KSMBR1_0071;kuste3636;A0A2C9CA64
KSMBR1_0232;hypothetical protein;KSMBR1_0232;;A0A2C9CA66
KSMBR1_0242;hypothetical protein;KSMBR1_0242;;A0A2C9CA69
KSMBR1_0253;hypothetical protein;KSMBR1_0253;kuste4365;A0A2C9CA71
KSMBR1_0079;hypothetical protein;KSMBR1_0079;kuste3627;A0A2C9CA73
KSMBR1_0075;4-hydroxy-3-methylbut-2-enyl diphosphate reductase;KSMBR1_0075;kuste3632;A0A2C9CA75
KSMBR1_0091;hypothetical protein;KSMBR1_0091;kustc0922;A0A2C9CA77
KSMBR1_0091;hypothetical protein;KSMBR1_0091;kustc0994;A0A2C9CA77
KSMBR1_0091;hypothetical protein;KSMBR1_0091;kustc1065;A0A2C9CA77
KSMBR1_0091;hypothetical protein;KSMBR1_0091;kustc1112;A0A2C9CA77
KSMBR1_0091;hypothetical protein;KSMBR1_0091;kustc1200;A0A2C9CA77
KSMBR1_0091;hypothetical protein;KSMBR1_0091;kustd1285;A0A2C9CA77
KSMBR1_0091;hypothetical protein;KSMBR1_0091;kustd1658;A0A2C9CA77
KSMBR1_0091;hypothetical protein;KSMBR1_0091;kuste2610;A0A2C9CA77
KSMBR1_0091;hypothetical protein;KSMBR1_0091;kuste2748;A0A2C9CA77
KSMBR1_0091;hypothetical protein;KSMBR1_0091;kuste2752;A0A2C9CA77
KSMBR1_0091;hypothetical protein;KSMBR1_0091;kuste3151;A0A2C9CA77
KSMBR1_0091;hypothetical protein;KSMBR1_0091;kuste3916;A0A2C9CA77
KSMBR1_0091;hypothetical protein;KSMBR1_0091;kuste4215;A0A2C9CA77
KSMBR1_1111;hypothetical protein;KSMBR1_1111;kustc0922;A0A2C9CA77
KSMBR1_1111;hypothetical protein;KSMBR1_1111;kustc0994;A0A2C9CA77
KSMBR1_1111;hypothetical protein;KSMBR1_1111;kustc1065;A0A2C9CA77
KSMBR1_1111;hypothetical protein;KSMBR1_1111;kustc1112;A0A2C9CA77
KSMBR1_1111;hypothetical protein;KSMBR1_1111;kustc1200;A0A2C9CA77
KSMBR1_1111;hypothetical protein;KSMBR1_1111;kustd1285;A0A2C9CA77
KSMBR1_1111;hypothetical protein;KSMBR1_1111;kustd1658;A0A2C9CA77
KSMBR1_1111;hypothetical protein;KSMBR1_1111;kuste2610;A0A2C9CA77
KSMBR1_1111;hypothetical protein;KSMBR1_1111;kuste2748;A0A2C9CA77
KSMBR1_1111;hypothetical protein;KSMBR1_1111;kuste2752;A0A2C9CA77
KSMBR1_1111;hypothetical protein;KSMBR1_1111;kuste3151;A0A2C9CA77
KSMBR1_1111;hypothetical protein;KSMBR1_1111;kuste3916;A0A2C9CA77
KSMBR1_1111;hypothetical protein;KSMBR1_1111;kuste4215;A0A2C9CA77
KSMBR1_0263;hypothetical protein;KSMBR1_0263;kuste4351;A0A2C9CA80
resA;similar to thiol-disulfide oxidoreductase;KSMBR1_0095;kuste3827;A0A2C9CA91
KSMBR1_0100;hypothetical protein;KSMBR1_0100;kuste3815;A0A2C9CA92
KSMBR1_0099;hypothetical protein;KSMBR1_0099;kuste3816;A0A2C9CA96
KSMBR1_0283;hypothetical protein;KSMBR1_0283;;A0A2C9CA98
KSMBR1_0110;hypothetical protein;KSMBR1_0110;kuste3805;A0A2C9CAA3
atpG;similar to ATP synthase subunit gamma;KSMBR1_0122;kuste3794;A0A2C9CAA8
KSMBR1_0293;hypothetical protein;KSMBR1_0293;;A0A2C9CAB0
KSMBR1_0116;hypothetical protein;KSMBR1_0116;;A0A2C9CAB1
KSMBR1_0006;similar to D0-methyltransferase (cytosine-specific);KSMBR1_0006;;A0A2C9CAB2
d0X;similar to D0 polymerase III subunit gamma/tau;KSMBR1_0184;kuste3727;A0A2C9CAB6
KSMBR1_0303;hypothetical histidine ki0se protein;KSMBR1_0303;kuste4321;A0A2C9CAB8
hemL;strongly similar to glutamate-1-semialdehyde aminomutase (aminotransferase);KSMBR1_0132;kuste3785;A0A2C9CAC1
KSMBR1_0197;hypothetical protein;KSMBR1_0197;kuste3720;A0A2C9CAC6
rpiB;strongly similar to ribose-5-phosphate isomerase;KSMBR1_0094;kuste3828;A0A2C9CAC7
glgP_2;similar to glycogen phosphorylase;KSMBR1_0313;;A0A2C9CAC8
KSMBR1_0026;hypothetical protein;KSMBR1_0026;kuste2815;A0A2C9CAC9
KSMBR1_0001;hypothetical protein;KSMBR1_0001;;A0A2C9CAD0
KSMBR1_0136;hypothetical protein;KSMBR1_0136;kuste3781;A0A2C9CAD1
KSMBR1_0141;hypothetical protein;KSMBR1_0141;kuste3776;A0A2C9CAD3
HepA;similar to ATP-dependent R0 helicase (R0 polymerase associated protein);KSMBR1_0142;kuste3775;A0A2C9CAD4
KSMBR1_0207;hypothetical protein;KSMBR1_0207;kuste2863;A0A2C9CAD6
KSMBR1_0207;hypothetical protein;KSMBR1_0207;kuste2895;A0A2C9CAD6
KSMBR1_0207;hypothetical protein;KSMBR1_0207;kuste3006;A0A2C9CAD6
KSMBR1_0207;hypothetical protein;KSMBR1_0207;kuste3620;A0A2C9CAD6
KSMBR1_0207;hypothetical protein;KSMBR1_0207;kuste3657;A0A2C9CAD6
KSMBR1_0207;hypothetical protein;KSMBR1_0207;kuste3701;A0A2C9CAD6
KSMBR1_0207;hypothetical protein;KSMBR1_0207;kuste4642;A0A2C9CAD6
KSMBR1_0036;hypothetical protein;KSMBR1_0036;;A0A2C9CAD8
ptsN_1;similar to nitrogen regulatory bacterial protein IIA;KSMBR1_0146;kuste3770;A0A2C9CAD9
KSMBR1_0150;hypothetical protein;KSMBR1_0150;kuste3766;A0A2C9CAE5
CHC2_4;hypothetical zinc finger containing protein;KSMBR1_0217;kuste2494;A0A2C9CAE6
CHC2_4;hypothetical zinc finger containing protein;KSMBR1_0217;kuste2647;A0A2C9CAE6
CHC2_4;hypothetical zinc finger containing protein;KSMBR1_0217;kuste3576;A0A2C9CAE6
CHC2_4;hypothetical zinc finger containing protein;KSMBR1_0217;kuste3668;A0A2C9CAE6
CHC2_4;hypothetical zinc finger containing protein;KSMBR1_0217;kuste4307;A0A2C9CAE6
CHC2_4;hypothetical zinc finger containing protein;KSMBR1_0217;kuste4489;A0A2C9CAE6
KSMBR1_0114;hypothetical protein;KSMBR1_0114;kuste3800;A0A2C9CAE7
KSMBR1_0160;hypothetical protein;KSMBR1_0160;kuste3756;A0A2C9CAF3
psp;similar to phosphoserine phosphatase;KSMBR1_0162;kuste3754;A0A2C9CAF4
KSMBR1_0227;hypothetical protein;KSMBR1_0227;kuste4484;A0A2C9CAF6
atpF;ATP synthase subunit b, sodium ion specific;KSMBR1_0125;;A0A2C9CAF7
KSMBR1_0056;hypothetical protein;KSMBR1_0056;kuste3661;A0A2C9CAF8
KSMBR1_3882;hypothetical protein;KSMBR1_3882;kuste3661;A0A2C9CAF8
ispD;similar to 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase;KSMBR1_0171;kuste3743;A0A2C9CAF9
KSMBR1_0166;sig0l peptidase I;KSMBR1_0166;kuste3749;A0A2C9CAG0
nucI;highly similar to nuclease;KSMBR1_0031;;A0A2C9CAG2
KSMBR1_0170;hypothetical protein;KSMBR1_0170;kuste3744;A0A2C9CAG3
KSMBR1_0172;Hemerythrin HHE cation binding domain protein;KSMBR1_0172;kuste3742;A0A2C9CAG4
KSMBR1_0343;hypothetical protein;KSMBR1_0343;kuste4267;A0A2C9CAG5
KSMBR1_0237;hypothetical protein;KSMBR1_0237;kustc0424;A0A2C9CAG7
KSMBR1_0237;hypothetical protein;KSMBR1_0237;kustc0601;A0A2C9CAG7
KSMBR1_0237;hypothetical protein;KSMBR1_0237;kustc0739;A0A2C9CAG7
KSMBR1_0237;hypothetical protein;KSMBR1_0237;kustc1074;A0A2C9CAG7
KSMBR1_0237;hypothetical protein;KSMBR1_0237;kustc1113;A0A2C9CAG7
KSMBR1_0237;hypothetical protein;KSMBR1_0237;kustc1122;A0A2C9CAG7
KSMBR1_0237;hypothetical protein;KSMBR1_0237;kustd1656;A0A2C9CAG7
KSMBR1_0237;hypothetical protein;KSMBR1_0237;kustd2239;A0A2C9CAG7
KSMBR1_0237;hypothetical protein;KSMBR1_0237;kuste2615;A0A2C9CAG7
KSMBR1_0237;hypothetical protein;KSMBR1_0237;kuste3230;A0A2C9CAG7
KSMBR1_0237;hypothetical protein;KSMBR1_0237;kuste3355;A0A2C9CAG7
KSMBR1_0237;hypothetical protein;KSMBR1_0237;kuste3694;A0A2C9CAG7
KSMBR1_0237;hypothetical protein;KSMBR1_0237;kuste3697;A0A2C9CAG7
KSMBR1_0237;hypothetical protein;KSMBR1_0237;kuste4538;A0A2C9CAG7
rpoN;strongly similar to R0 polymerase subunit sigma-54;KSMBR1_0181;kuste3730;A0A2C9CAG9
KSMBR1_0180;hypothetical protein;KSMBR1_0180;kuste3731;A0A2C9CAH1
KSMBR1_0051;hypothetical protein;KSMBR1_0051;kuste2492;A0A2C9CAI0
KSMBR1_0051;hypothetical protein;KSMBR1_0051;kuste2649;A0A2C9CAI0
KSMBR1_0051;hypothetical protein;KSMBR1_0051;kuste3574;A0A2C9CAI0
KSMBR1_0051;hypothetical protein;KSMBR1_0051;kuste3666;A0A2C9CAI0
KSMBR1_0051;hypothetical protein;KSMBR1_0051;kuste4305;A0A2C9CAI0
KSMBR1_0051;hypothetical protein;KSMBR1_0051;kuste4491;A0A2C9CAI0
KSMBR1_0693;hypothetical protein;KSMBR1_0693;kuste2492;A0A2C9CAI0
KSMBR1_0693;hypothetical protein;KSMBR1_0693;kuste2649;A0A2C9CAI0
KSMBR1_0693;hypothetical protein;KSMBR1_0693;kuste3574;A0A2C9CAI0
KSMBR1_0693;hypothetical protein;KSMBR1_0693;kuste3666;A0A2C9CAI0
KSMBR1_0693;hypothetical protein;KSMBR1_0693;kuste4305;A0A2C9CAI0
KSMBR1_0693;hypothetical protein;KSMBR1_0693;kuste4491;A0A2C9CAI0
KSMBR1_3609;hypothetical protein;KSMBR1_3609;kuste2492;A0A2C9CAI0
KSMBR1_3609;hypothetical protein;KSMBR1_3609;kuste2649;A0A2C9CAI0
KSMBR1_3609;hypothetical protein;KSMBR1_3609;kuste3574;A0A2C9CAI0
