accession_number;gene_names;protein_names;ksmbr_number;kust_number
A0A2C9CBX1;;Uncharacterized protein;KSMBR1_0042 KSMBR1_0050 KSMBR1_0087 KSMBR1_0694 KSMBR1_1115 KSMBR1_2133 KSMBR1_2678 KSMBR1_3099 KSMBR1_3113 KSMBR1_3610 KSMBR1_3658 KSMBR1_3680 KSMBR1_3854;
Q1Q752;;Uncharacterized protein;KSMBR1_0043 KSMBR1_0049 KSMBR1_0086 KSMBR1_0488 KSMBR1_0695 KSMBR1_1116 KSMBR1_1562 KSMBR1_2134 KSMBR1_2677 KSMBR1_3100 KSMBR1_3112 KSMBR1_3611 KSMBR1_3657 KSMBR1_3681 KSMBR1_3855 KSMBR1_3892;kuste2650
A0A2C9CKI1;;Uncharacterized protein;KSMBR1_0044 KSMBR1_0048 KSMBR1_0085 KSMBR1_0212 KSMBR1_0487 KSMBR1_0696 KSMBR1_1117 KSMBR1_1563 KSMBR1_2135 KSMBR1_2676 KSMBR1_3101 KSMBR1_3111 KSMBR1_3612 KSMBR1_3656 KSMBR1_3682 KSMBR1_3856 KSMBR1_3891;
A0A2C9CES0;;Uncharacterized protein;KSMBR1_0045 KSMBR1_0047 KSMBR1_0084 KSMBR1_0211 KSMBR1_0486 KSMBR1_0697 KSMBR1_1118 KSMBR1_1564 KSMBR1_2136 KSMBR1_2675 KSMBR1_3102 KSMBR1_3110 KSMBR1_3613 KSMBR1_3655 KSMBR1_3683 KSMBR1_3857 KSMBR1_3890;
Q1Q0X4;ltrA;Similar to Group II intron encoded reverse transcriptase (EC 2.7.7.49);KSMBR1_0046 KSMBR1_0058 KSMBR1_3742;kuste2895
A0A2C9CAI0;;Mu-transpos_C domain-containing protein;KSMBR1_0051 KSMBR1_0693 KSMBR1_3609 KSMBR1_3853;
A0A2C9CA53;;Uncharacterized protein;KSMBR1_0054;
A0A2C9CCX6;;Uncharacterized protein;KSMBR1_0055;
A0A2C9CAF8;;Elp3 domain-containing protein;KSMBR1_0056 KSMBR1_3882;
A0A2C9C9P1;;Putative orf;KSMBR1_0057;
A0A2C9CA47;dpm_1;Glyco_trans_2-like domain-containing protein;KSMBR1_0059;
A0A2C9CA56;catC;MIase domain-containing protein;KSMBR1_0060;
Q1Q325;fabG fabG_1;3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100);KSMBR1_0061;kuste3649
A0A2C9C9Z0;;Uncharacterized protein;KSMBR1_0062;
Q1Q328;splb;Similar to DNA repair photoproduct lyase (EC 4.1.99.-);KSMBR1_0063;kuste3646
Q1Q310;;Uncharacterized protein;KSMBR1_0064;kuste3645
Q1Q313;;Uncharacterized protein;KSMBR1_0065;kuste3642
Q1Q315;bfr bfr_1;Bacterioferritin (EC 1.16.3.1);KSMBR1_0066;kuste3640
A0A2C9C9Q1;tnpA_1 tnpA_10 tnpA_17 tnpA_20 tnpA_21 tnpA_3 tnpA_6;Tnp_DDE_dom domain-containing protein;KSMBR1_0067 KSMBR1_0392 KSMBR1_0898 KSMBR1_1192 KSMBR1_3627 KSMBR1_3767 KSMBR1_3788;
Q1Q317;smpB;SsrA-binding protein (Small protein B);KSMBR1_0069;kuste3638
Q1Q318;cheY cheY_1;Similar to two-component response regulator CheY;KSMBR1_0070;kuste3637
A0A2C9CA64;dacC;D-alanyl-D-alanine carboxypeptidase DacC (EC 3.4.16.4);KSMBR1_0071;
Q1Q301;pmtA pmtA_1;Similar to phosphatidylethanolamine N-methyltransferase (EC 2.1.1.17);KSMBR1_0072;kuste3635
Q1Q302;;UDP-glucose 6-dehydrogenase (EC 1.1.1.22);KSMBR1_0073;kuste3634
Q1Q303;;Uncharacterized protein;KSMBR1_0074;kuste3633
A0A2C9CA75;ispH;4-hydroxy-3-methylbut-2-enyl diphosphate reductase (HMBPP reductase) (EC 1.17.7.4);KSMBR1_0075;
Q1Q305;;Uncharacterized protein;KSMBR1_0076;kuste3631
Q1Q307;;HD-GYP domain-containing protein;KSMBR1_0077;kuste3629
A0A2C9C9R1;;Uncharacterized protein;KSMBR1_0078;
A0A2C9CA73;;Uncharacterized protein;KSMBR1_0079;
Q1Q2Z1;adh adh_1;Strongly similar to alcohol dehydrogenase (EC 1.1.1.2);KSMBR1_0080;kuste3626
Q1Q2Z2;;Uncharacterized protein;KSMBR1_0081;kuste3625
A0A2C9CAL1;;DDE_Tnp_1 domain-containing protein;KSMBR1_0082;
A0A2C9CA09;tnpA_2;Tnp_DDE_dom domain-containing protein;KSMBR1_0083;
A0A2C9CFU2;;Uncharacterized protein;KSMBR1_0088 KSMBR1_0215 KSMBR1_0490 KSMBR1_1114 KSMBR1_1560 KSMBR1_2132 KSMBR1_2679 KSMBR1_3098 KSMBR1_3114 KSMBR1_3659 KSMBR1_3679;
A0A2C9CA77;;Uncharacterized protein;KSMBR1_0091 KSMBR1_1111;
A0A2C9CAM1;;DUF772 domain-containing protein;KSMBR1_0092;
Q1Q3L0;;Uncharacterized protein;KSMBR1_0093;kuste3829
A0A2C9CAC7;rpiB;Strongly similar to ribose-5-phosphate isomerase (EC 5.3.1.6);KSMBR1_0094;
A0A2C9CA91;resA;Thioredoxin domain-containing protein;KSMBR1_0095;
A0A2C9CD14;;Uncharacterized protein;KSMBR1_0096;
A0A2C9CAJ5;;Uncharacterized protein;KSMBR1_0097;
Q1Q3I5;cas2;CRISPR-associated endoribonuclease Cas2 (EC 3.1.-.-);KSMBR1_0098;kuste3817
A0A2C9CA96;cas1;CRISPR-associated endonuclease Cas1 (EC 3.1.-.-);KSMBR1_0099;
A0A2C9CA92;;Reverse transcriptase domain-containing protein;KSMBR1_0100;
Q1Q3I8;;Uncharacterized protein;KSMBR1_0101;kuste3814
A0A2C9CAN0;;Uncharacterized protein;KSMBR1_0102;
A0A2C9CA29;;Uncharacterized protein;KSMBR1_0103;
Q1Q3J1;;Uncharacterized protein;KSMBR1_0104;kuste3811
Q1Q3J2;;Uncharacterized protein;KSMBR1_0105;kuste3810
Q1Q3H4;;RAMP superfamily protein;KSMBR1_0106;kuste3809
Q1Q3H5;;Csm4_C domain-containing protein;KSMBR1_0107;kuste3808
A0A2C9C9U1;;Uncharacterized protein;KSMBR1_0108;
Q1Q3H7;;Uncharacterized protein;KSMBR1_0109;kuste3806
A0A2C9CAA3;;Uncharacterized protein;KSMBR1_0110;
A0A2C9CCY8;;DDE_Tnp_1 domain-containing protein;KSMBR1_0111 KSMBR1_0147 KSMBR1_0192 KSMBR1_0312 KSMBR1_0432 KSMBR1_0471 KSMBR1_0937 KSMBR1_1568 KSMBR1_1647 KSMBR1_1664 KSMBR1_1958 KSMBR1_2504 KSMBR1_2542 KSMBR1_2609 KSMBR1_3075 KSMBR1_3201 KSMBR1_3686 KSMBR1_3969 KSMBR1_4043;
A0A2C9CAN7;;GGDEF domain-containing protein;KSMBR1_0112;
Q1Q3I1;;Uncharacterized protein;KSMBR1_0113;kuste3802
A0A2C9CAE7;;CRISPR_Cas6 domain-containing protein;KSMBR1_0114;
A0A2C9CAB1;;Uncharacterized protein;KSMBR1_0116;
A0A2C9CD33;;Peptidase_M22 domain-containing protein;KSMBR1_0117;
A0A2C9CAL3;;Uncharacterized protein;KSMBR1_0118;
A0A2C9C9V5;rmlb_1;dTDP-glucose 4,6-dehydratase (EC 4.2.1.46);KSMBR1_0119;
Q1Q3G9;atpC;ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit);KSMBR1_0120;kuste3796
Q1Q3H0;atpD;ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta);KSMBR1_0121;kuste3795
A0A2C9CAA8;atpG;ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit);KSMBR1_0122;
A0A2C9CAQ2;atpA;ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha);KSMBR1_0123;
A0A2C9CA50;atpH;ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta);KSMBR1_0124;
A0A2C9CAF7;atpF;ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b);KSMBR1_0125;
Q1Q3F5;atpE;ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein);KSMBR1_0126;kuste3791
A0A2C9CD42;atpE;ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein);KSMBR1_0127;
Q1Q3F7;atpB;ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6);KSMBR1_0128;kuste3789
A0A2C9C9W4;;ATP synthase I chain;KSMBR1_0129;
Q1Q3F9;;F0F1-ATPase subunit (ATPase_gene1);KSMBR1_0130;kuste3787
Q1Q3G0;;Uncharacterized protein;KSMBR1_0131;kuste3786
A0A2C9CAC1;hemL;Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT);KSMBR1_0132;
Q1Q3G2;GART garT purN;Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART);KSMBR1_0133;kuste3784
Q1Q3G3;matrin mmp-7 pump-1;Similar to matrilysin (Metalloproteinase) (EC 3.4.24.23);KSMBR1_0134;kuste3783
Q1Q3G4;FepA fepA;Similar to ferric enterobactin receptor FepA;KSMBR1_0135;kuste3782
A0A2C9CAD1;;Uncharacterized protein;KSMBR1_0136;
Q1Q3E6;;ABC transporter substrate binding protein;KSMBR1_0137;kuste3780
A0A2C9CAN4;gacS;Histidine kinase (EC 2.7.13.3);KSMBR1_0138;
Q1Q3E8;;Uncharacterized protein;KSMBR1_0139;kuste3778
Q1Q3E9;;DUF5615 domain-containing protein;KSMBR1_0140;kuste3777
A0A2C9CAD3;;Uncharacterized protein;KSMBR1_0141;
A0A2C9CAD4;hepA;Uncharacterized protein;KSMBR1_0142;
Q1Q3F2;;SWIM-type domain-containing protein;KSMBR1_0143;kuste3774
Q1Q3F4;FR;Similar to flavocytochrome C fumarate reductase (EC 1.3.1.6);KSMBR1_0144;kuste3772
Q1Q3D6;;Uncharacterized protein;KSMBR1_0145;kuste3771
A0A2C9CAD9;ptsN_1;PTS EIIA type-2 domain-containing protein;KSMBR1_0146;
A0A2C9CAP7;ptsN_2;PTS EIIA type-2 domain-containing protein;KSMBR1_0148;
Q1Q3E0;;Uncharacterized protein;KSMBR1_0149;kuste3767
A0A2C9CAE5;;Uncharacterized protein;KSMBR1_0150;
Q1Q3E2;;Amidohydro-rel domain-containing protein;KSMBR1_0151;kuste3765
A0A2C9CAT0;mqnA;Chorismate dehydratase (EC 4.2.1.151) (Menaquinone biosynthetic enzyme MqnA);KSMBR1_0153;
Q1Q3D1;mqnC;Cyclic dehypoxanthine futalosine synthase (Cyclic DHFL synthase) (EC 1.21.98.1) (Dehypoxanthine futalosine cyclase) (DHFL cyclase) (Menaquinone biosynthetic enzyme MqnC);KSMBR1_0154;kuste3762
Q1Q3D2;;ATP-grasp domain-containing protein;KSMBR1_0155;kuste3761
A0A2C9CD72;;Uncharacterized protein;KSMBR1_0157;
A0A2C9CAQ7;;Uncharacterized protein;KSMBR1_0158;
A0A2C9C9Z6;;Uncharacterized protein;KSMBR1_0159;
A0A2C9CAF3;;Uncharacterized protein;KSMBR1_0160;
Q1Q3C3;;Uncharacterized protein;KSMBR1_0161;kuste3755
A0A2C9CAF4;psp;Uncharacterized protein;KSMBR1_0162;
Q1Q3C5;;EamA domain-containing protein;KSMBR1_0163;kuste3753
Q1Q3C7;GLK glk;Similar to glucokinase (EC 2.7.1.2);KSMBR1_0164;kuste3751
A0A2C9CAJ3;lepA;Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA);KSMBR1_0165;
A0A2C9CAG0;;Signal peptidase I;KSMBR1_0166;
A0A2C9CD82;abca;ABC transporter domain-containing protein;KSMBR1_0167;
A0A2C9CAR7;nlpD;Murein hydrolase activator NlpD;KSMBR1_0168;
Q1Q3B2;;CxxC_CXXC_SSSS domain-containing protein;KSMBR1_0169;kuste3746
A0A2C9CAG3;;HIT domain-containing protein;KSMBR1_0170;
A0A2C9CAF9;ispD;2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT);KSMBR1_0171;
A0A2C9CAG4;;Hemerythrin HHE cation binding domain protein;KSMBR1_0172;
A0A2C9CAV3;;Uncharacterized protein;KSMBR1_0173;
Q1Q3B8;lysS;Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS);KSMBR1_0174;kuste3740
Q1Q3C0;;Uncharacterized protein;KSMBR1_0175;kuste3738
A0A2C9CKC7;;DDE_Tnp_1 domain-containing protein;KSMBR1_0176 KSMBR1_1122 KSMBR1_1132 KSMBR1_1245 KSMBR1_1985 KSMBR1_2638 KSMBR1_3653 KSMBR1_3850 KSMBR1_3897;
A0A2C9CD91;;DDE_Tnp_ISL3 domain-containing protein;KSMBR1_0177;
A0A2C9CAS7;;S1 motif domain-containing protein;KSMBR1_0178;
A0A2C9CA15;dan;Silmilar to D-aminoacylase (EC 3.5.1.81);KSMBR1_0179;
A0A2C9CAH1;;Uncharacterized protein;KSMBR1_0180;
A0A2C9CAG9;rpoN;Strongly similar to RNA polymerase subunit sigma-54;KSMBR1_0181;
Q1Q3A9;recR;Recombination protein RecR;KSMBR1_0182;kuste3729
Q1Q3B0;KSMBR1_0183;Nucleoid-associated protein;KSMBR1_0183;kuste3728
A0A2C9CAB6;dnaX;DNA polymerase III subunit gamma/tau (EC 2.7.7.7);KSMBR1_0184;
A0A2C9CAL2;;Uncharacterized protein;KSMBR1_0187;
A0A2C9CAI1;tadA;tRNA-specific adenosine deaminase (EC 3.5.4.33);KSMBR1_0188;
A0A2C9CDA1;;Uncharacterized protein;KSMBR1_0190;
Q1PV67;;Predicted orf;KSMBR1_0191 KSMBR1_0322 KSMBR1_0514 KSMBR1_0523 KSMBR1_0860 KSMBR1_0886 KSMBR1_0909 KSMBR1_0915 KSMBR1_0916 KSMBR1_1124 KSMBR1_1199 KSMBR1_1704 KSMBR1_1755 KSMBR1_2085 KSMBR1_2167 KSMBR1_2177 KSMBR1_2225 KSMBR1_2311 KSMBR1_3004 KSMBR1_4042;kustc0379
A0A2C9CAI4;;Uncharacterized protein;KSMBR1_0193;
A0A2C9CAI8;;Uncharacterized protein;KSMBR1_0194;
A0A2C9CAI7;;Uncharacterized protein;KSMBR1_0195;
A0A2C9CAW9;;VTC domain protein;KSMBR1_0196;
A0A2C9CAC6;;Uncharacterized protein;KSMBR1_0197;
A0A2C9CAM2;;Uncharacterized protein;KSMBR1_0198;
A0A2C9CAI9;;Uncharacterized protein;KSMBR1_0199;
A0A2C9CDB3;;Uncharacterized protein;KSMBR1_0200;
Q1Q392;cbiQ;Similar to cobalt transport protein CbiQ;KSMBR1_0201;kuste3712
Q1Q393;cbiO;ABC transporter ATP-binding protein;KSMBR1_0202;kuste3711
Q1Q375;cobD;Similar to L-threonine-O-3-phosphate decarboxylase (EC 2.6.1.-) (EC 4.1.1.-);KSMBR1_0203;kuste3709
Q1Q378;cbiP cobQ;Cobyric acid synthase;KSMBR1_0204;kuste3706
Q1Q379;;MOSC domain-containing protein;KSMBR1_0205;kuste3705
A0A2C9CAX6;;Uncharacterized protein;KSMBR1_0206;
A0A2C9CAD6;;Reverse transcriptase domain-containing protein;KSMBR1_0207;
A0A2C9CAN3;;Reverse transcriptase domain-containing protein;KSMBR1_0208;
Q1Q365;;Tnp_DDE_dom domain-containing protein;KSMBR1_0209;kuste3700
A0A2C9CDC1;;Uncharacterized protein;KSMBR1_0210;
Q1Q2V0;;Uncharacterized protein;KSMBR1_0213;kuste2491
A0A2C9CED3;;Uncharacterized protein;KSMBR1_0214 KSMBR1_1561;
A0A2C9CAE6;;Putative zinc finger containing protein;KSMBR1_0217;
A0A2C9CAQ3;;Putative orf;KSMBR1_0218;
A0A2C9CAK9;;Uncharacterized protein;KSMBR1_0219;
A0A2C9CDD2;;Uncharacterized protein;KSMBR1_0220;
A0A2C9CAW5;;DUF1232 domain-containing protein;KSMBR1_0221;
A0A2C9CA58;;Uncharacterized protein;KSMBR1_0222;
A0A2C9CAL8;;Uncharacterized protein;KSMBR1_0223;
A0A2C9CAL7;;GIY-YIG domain-containing protein;KSMBR1_0224;
A0A2C9CAL4;;Uncharacterized protein;KSMBR1_0225;
A0A2C9CAZ4;;Uncharacterized protein;KSMBR1_0226;
A0A2C9CAF6;;HTH cro/C1-type domain-containing protein;KSMBR1_0227;
A0A2C9CAR2;;Nitroreductase domain-containing protein;KSMBR1_0228;
A0A2C9CAL6;;Uncharacterized protein;KSMBR1_0229;
Q1Q5F8;bfr bfr_2;Bacterioferritin (EC 1.16.3.1);KSMBR1_0230;kuste4480
A0A2C9CAX9;;Very similar to histidine kinase;KSMBR1_0231;
A0A2C9CA66;;Uncharacterized protein;KSMBR1_0232;
A0A2C9CAM8;istB_1;IstB_IS21 domain-containing protein;KSMBR1_0233;
A0A2C9CAM7;istB_2;Uncharacterized protein;KSMBR1_0234;
A0A2C9CAM4;istA;Integrase catalytic domain-containing protein;KSMBR1_0235;
A0A2C9CB04;;Uncharacterized protein;KSMBR1_0236;
A0A2C9CAG7;;DDE_3 domain-containing protein;KSMBR1_0237;
A0A2C9CAS3;;Putative orf;KSMBR1_0238 KSMBR1_3120;
A0A2C9CAM6;;Uncharacterized protein;KSMBR1_0239;
A0A2C9CDF2;;Methyltransf_33 domain-containing protein;KSMBR1_0240;
A0A2C9CAZ1;;Integrase catalytic domain-containing protein;KSMBR1_0241;
A0A2C9CA69;;Integrase catalytic domain-containing protein;KSMBR1_0242;
A0A2C9CAN9;;Phage_integrase domain-containing protein;KSMBR1_0243;
A0A2C9CAP5;kdsA;2-dehydro-3-deoxyphosphooctonate aldolase (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase) (KDO 8-P synthase) (KDOPS) (Phospho-2-dehydro-3-deoxyoctonate aldolase);KSMBR1_0245;
Q1Q551;hybD;Similar to [NiFe]-hydrogenase maturation endoprotease (EC 3.4.24.-);KSMBR1_0246;kuste4372
A0A2C9CB13;nifJ;Strongly similar to pyruvate:ferredoxin oxidoreductase (EC 1.2.7.1);KSMBR1_0247;
Q1Q533;;Tnp_DDE_dom domain-containing protein;KSMBR1_0248;kuste4370
A0A2C9CAT5;;DUF772 domain-containing protein;KSMBR1_0249;
A0A2C9CAP0;;Uncharacterized protein;KSMBR1_0250;
A0A2C9CDG2;;DDE_Tnp_1 domain-containing protein;KSMBR1_0251 KSMBR1_0604 KSMBR1_1570;
A0A2C9CB01;;Uncharacterized protein;KSMBR1_0252;
A0A2C9CA71;;Uncharacterized protein;KSMBR1_0253;
Q1Q539;;Similar to rubrerythrin;KSMBR1_0254;kuste4364
Q1Q540;;Uncharacterized protein;KSMBR1_0255;kuste4363
Q1Q542;;Uncharacterized protein;KSMBR1_0256;kuste4361
Q1Q524;;Uncharacterized protein;KSMBR1_0257;kuste4359
A0A2C9CAI2;;Uncharacterized protein;KSMBR1_0258;
Q1Q526;;Uncharacterized protein;KSMBR1_0259;kuste4357
A0A2C9CAP9;;Uncharacterized protein;KSMBR1_0260;
A0A2C9CDH2;;Uncharacterized protein;KSMBR1_0261;
A0A2C9CB11;;Uncharacterized protein;KSMBR1_0262;
A0A2C9CA80;;Uncharacterized protein;KSMBR1_0263;
Q1Q513;;Uncharacterized protein;KSMBR1_0264;kuste4350
A0A2C9CAR6;;Uncharacterized protein;KSMBR1_0265;
Q1Q515;;Uncharacterized protein;KSMBR1_0266;kuste4348
Q1Q516;;Cytochrome c domain-containing protein;KSMBR1_0267;kuste4347
A0A2C9CAJ2;;Uncharacterized protein;KSMBR1_0268;
Q1Q518;cheY cheY_2;Similar to two component response regulator;KSMBR1_0269;kuste4345
A0A2C9CAQ9;pckA;Phosphoenolpyruvate carboxykinase (ATP) (EC 4.1.1.49);KSMBR1_0270;
Q1Q522;rnhA rnhA_1;Similar to ribonuclease H (EC 3.1.26.4);KSMBR1_0271;kuste4341
A0A2C9CB28;lolD_1 lolD;Lipoprotein-releasing system ATP-binding protein LolD (EC 7.6.2.-);KSMBR1_0272;
Q1Q504;ilvE ilvE_1;Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42);KSMBR1_0273;kuste4339
Q1Q505;lspA;Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II);KSMBR1_0274;kuste4338
A0A2C9CAS6;dksA;DksA C4-type domain-containing protein;KSMBR1_0275;
A0A2C9CAQ8;;NAD(P)-bd_dom domain-containing protein;KSMBR1_0276;
A0A2C9CB49;truC_1;PseudoU_synth_2 domain-containing protein;KSMBR1_0277;
A0A2C9CAK7;;Uncharacterized protein;KSMBR1_0278;
Q1Q511;pyrI;Aspartate carbamoyltransferase regulatory chain;KSMBR1_0279;kuste4332
A0A2C9CAR9;pyrB;Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase);KSMBR1_0280;
A0A2C9CDJ2;;Uncharacterized protein;KSMBR1_0281;
A0A2C9CB43;;TPR_REGION domain-containing protein;KSMBR1_0282;
A0A2C9CA98;;Uncharacterized protein;KSMBR1_0283;
A0A2C9CAT3;;RHH_3 domain-containing protein;KSMBR1_0284;
A0A2C9CAT7;;Uncharacterized protein;KSMBR1_0285;
A0A2C9CAR8;;Prim-Pol domain-containing protein;KSMBR1_0286;
A0A2C9CB52;;PriCT_1 domain-containing protein;KSMBR1_0287;
A0A2C9CAL9;;Uncharacterized protein;KSMBR1_0288;
A0A2C9CAX1;;Helix-turn-helix domain protein;KSMBR1_0289;
A0A2C9CAS9;;Uncharacterized protein;KSMBR1_0290;
A0A2C9CDK2;;Uncharacterized protein;KSMBR1_0291;
A0A2C9CB60;dam_1;DNA adenine methylase (EC 2.1.1.72);KSMBR1_0292;
A0A2C9CAB0;;Uncharacterized protein;KSMBR1_0293;
A0A2C9CAU4;;Uncharacterized protein;KSMBR1_0294;
A0A2C9CAU6;xerD_1;Uncharacterized protein;KSMBR1_0295;
Q1Q4Z4;hom;Homoserine dehydrogenase (EC 1.1.1.3);KSMBR1_0296;kuste4329
A0A2C9CB61;ppd;Strongly similar to phosphonopyruvate decarboxylase (EC 4.1.1.-);KSMBR1_0297;
A0A2C9CAN1;gpm gpmA;2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11);KSMBR1_0298;
Q1Q4Z8;;Uma2 domain-containing protein;KSMBR1_0299;kuste4325
Q1Q4Z9;focA focA_1;Similar to formate transporter;KSMBR1_0300;kuste4324
Q1Q500;atoC atoC_1;Strongly similar to sigma 54 response regulator;KSMBR1_0301;kuste4323
Q1Q501;;Hypothetical signal transduction protein (Putative signal transduction protein);KSMBR1_0302;kuste4322
A0A2C9CAB8;;Putative histidine kinase protein;KSMBR1_0303;
